MsgID.STATE,0.0000000,False,False
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924793,0.2370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.0340000,-0.0725929,0.1577316,-0.2371021
MsgID.LOCAL_VELOCITY,3.0340000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924790,0.2240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.2840000,-0.1043971,0.1731221,-0.2245266
MsgID.LOCAL_VELOCITY,3.2840000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924807,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.5340000,0.0855715,0.0642962,-0.2025990
MsgID.LOCAL_VELOCITY,3.5340000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924808,0.1720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3.7840000,0.0901959,-0.0108461,-0.1723576
MsgID.LOCAL_VELOCITY,3.7840000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,0.1380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.0340000,0.0332705,-0.0176889,-0.1380447
MsgID.LOCAL_VELOCITY,4.0340000,0.0000010,0.0000159,0.0000087
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924802,0.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.2850000,-0.0211989,0.4352380,-0.1046973
MsgID.LOCAL_VELOCITY,4.2850000,0.0000070,-0.0000259,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924813,0.0760000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.5350000,0.0995972,0.2639838,-0.0764760
MsgID.LOCAL_VELOCITY,4.5350000,0.0000151,-0.0000175,0.0000093
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924803,0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,4.7850000,-0.0091572,0.2265857,-0.0565619
MsgID.LOCAL_VELOCITY,4.7850000,0.0000148,-0.0000023,0.0000097
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924799,0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,5.0350000,-0.0523032,0.4204642,-0.0467448
MsgID.LOCAL_VELOCITY,5.0350000,0.0000053,-0.0000274,0.0000133
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.0500000
MsgID.LOCAL_POSITION,5.2850000,-0.0573065,0.2916138,-0.2697463
MsgID.LOCAL_VELOCITY,5.2850000,0.0008289,0.0025871,-2.0515134
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924787,1.1010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-3.9200000
MsgID.LOCAL_POSITION,5.5350000,-0.1868523,0.4109847,-1.1015437
MsgID.LOCAL_VELOCITY,5.5350000,-0.0008049,0.0152205,-3.9260392
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924792,2.1710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-4.4400000
MsgID.LOCAL_POSITION,5.7850000,-0.1337961,0.3971066,-2.1718149
MsgID.LOCAL_VELOCITY,5.7850000,0.0131710,0.0074670,-4.4420323
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924799,3.3170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-4.5800000
MsgID.LOCAL_POSITION,6.0350000,-0.0553846,0.2508186,-3.3178346
MsgID.LOCAL_VELOCITY,6.0350000,0.0171860,0.0020128,-4.5893116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924802,4.4050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-4.6900000
MsgID.LOCAL_POSITION,6.2850000,-0.0254563,0.2455153,-4.4055624
MsgID.LOCAL_VELOCITY,6.2850000,0.0044130,0.0166383,-4.6914887
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924800,5.6580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0200000,-4.6500000
MsgID.LOCAL_POSITION,6.5350000,-0.0499092,0.3925525,-5.6585569
MsgID.LOCAL_VELOCITY,6.5350000,-0.0042747,0.0244277,-4.6554322
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924804,6.8370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-4.6500000
MsgID.LOCAL_POSITION,6.7850000,-0.0064268,0.4036602,-6.8377991
MsgID.LOCAL_VELOCITY,6.7850000,-0.0044932,0.0157441,-4.6597466
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924813,8.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-4.6700000
MsgID.LOCAL_POSITION,7.0350000,0.0954465,0.1908902,-8.0134363
MsgID.LOCAL_VELOCITY,7.0350000,-0.0070627,0.0130077,-4.6754026
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924791,9.1900000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0200000,-4.6300000
MsgID.LOCAL_POSITION,7.2850000,-0.1508310,0.4042223,-9.1906853
MsgID.LOCAL_VELOCITY,7.2850000,-0.0165947,0.0233221,-4.6329956
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924799,10.3660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-4.7000000
MsgID.LOCAL_POSITION,7.5350000,-0.0620235,0.4408138,-10.3667994
MsgID.LOCAL_VELOCITY,7.5350000,-0.0041236,0.0148483,-4.7008948
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924813,11.5430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7000000
MsgID.LOCAL_POSITION,7.7850000,0.0972612,0.2860209,-11.5431423
MsgID.LOCAL_VELOCITY,7.7850000,0.0051730,0.0044803,-4.7067890
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924814,12.6430000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,-4.6700000
MsgID.LOCAL_POSITION,8.0350000,0.1085784,0.1468482,-12.6431541
MsgID.LOCAL_VELOCITY,8.0350000,-0.0109022,0.0128120,-4.6720204
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924803,13.8760000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0300000,-4.6600000
MsgID.LOCAL_POSITION,8.2860000,-0.0116012,0.2394940,-13.8768578
MsgID.LOCAL_VELOCITY,8.2860000,-0.0268175,0.0327979,-4.6640568
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924793,14.5430000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0300000,-4.6700000
MsgID.LOCAL_POSITION,8.5360000,-0.1250800,0.3206110,-14.5432129
MsgID.LOCAL_VELOCITY,8.5360000,-0.0243193,0.0370262,-4.6715832
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924796,16.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0300000,-4.7400000
MsgID.LOCAL_POSITION,8.7860000,-0.0953626,0.2229069,-16.1234035
MsgID.LOCAL_VELOCITY,8.7860000,0.0136428,0.0377381,-4.7475343
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924804,17.3740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,-4.7100000
MsgID.LOCAL_POSITION,9.0360000,-0.0043630,0.2130331,-17.3743458
MsgID.LOCAL_VELOCITY,9.0360000,0.0095599,0.0375763,-4.7105885
MsgID.LOCAL_POSITION,9.2860000,0.0546934,0.2362411,-18.5521431
MsgID.LOCAL_VELOCITY,9.2860000,-0.0040788,0.0368694,-4.7525821
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924809,18.5520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,-4.7500000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924798,19.6540000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0300000,-4.6800000
MsgID.LOCAL_POSITION,9.5360000,-0.0739613,0.3507541,-19.6540070
MsgID.LOCAL_VELOCITY,9.5360000,-0.0158757,0.0338015,-4.6884475
MsgID.GLOBAL_POSITION,0.0000000,-122.3974475,37.7924810,20.9110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-4.7600000
MsgID.LOCAL_POSITION,9.7860000,0.0613991,0.5079414,-20.9115620
MsgID.LOCAL_VELOCITY,9.7860000,-0.0074161,0.0178687,-4.7616296
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974490,37.7924797,22.0160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7500000
MsgID.LOCAL_POSITION,10.0360000,-0.0783991,0.3799874,-22.0185661
MsgID.LOCAL_VELOCITY,10.0360000,-0.0091404,0.0029743,-4.7508798
MsgID.GLOBAL_POSITION,0.0000000,-122.3974472,37.7924786,23.2830000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7500000
MsgID.LOCAL_POSITION,10.2860000,-0.2064241,0.5352073,-23.2838860
MsgID.LOCAL_VELOCITY,10.2860000,-0.0051337,0.0049419,-4.7509265
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924796,24.4080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-4.7500000
MsgID.LOCAL_POSITION,10.5360000,-0.0938805,0.4424450,-24.4087505
MsgID.LOCAL_VELOCITY,10.5360000,0.0164269,-0.0027060,-4.7521377
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924810,25.6940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-4.7500000
MsgID.LOCAL_POSITION,10.7870000,0.0681538,0.3323106,-25.6966324
MsgID.LOCAL_VELOCITY,10.7870000,0.0186545,-0.0034558,-4.7576365
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974478,37.7924801,26.8520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7700000
MsgID.LOCAL_POSITION,11.0370000,-0.0332379,0.4831691,-26.8550091
MsgID.LOCAL_VELOCITY,11.0370000,-0.0062240,0.0065687,-4.7799215
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924797,28.0620000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-4.7900000
MsgID.LOCAL_POSITION,11.2870000,-0.0752079,0.4679429,-28.0651741
MsgID.LOCAL_VELOCITY,11.2870000,-0.0132115,0.0000457,-4.7936163
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924795,29.3560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8000000
MsgID.LOCAL_POSITION,11.5370000,-0.1015346,0.3564745,-29.3567295
MsgID.LOCAL_VELOCITY,11.5370000,0.0049247,-0.0068748,-4.8074994
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924807,30.5860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7800000
MsgID.LOCAL_POSITION,11.7870000,0.0322364,0.3913622,-30.5891247
MsgID.LOCAL_VELOCITY,11.7870000,0.0082588,0.0006568,-4.7870383
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924807,31.7880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7900000
MsgID.LOCAL_POSITION,12.0370000,0.0256564,0.3924994,-31.7933998
MsgID.LOCAL_VELOCITY,12.0370000,-0.0041080,0.0044417,-4.7973757
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924787,32.9580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8100000
MsgID.LOCAL_POSITION,12.2870000,-0.1909173,0.4658651,-32.9604759
MsgID.LOCAL_VELOCITY,12.2870000,-0.0098377,0.0065243,-4.8112164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974467,37.7924803,34.0670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7500000
MsgID.LOCAL_POSITION,12.5370000,-0.0170733,0.5796186,-34.0694008
MsgID.LOCAL_VELOCITY,12.5370000,0.0029164,-0.0000891,-4.7574763
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924805,35.2980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-4.8200000
MsgID.LOCAL_POSITION,12.7870000,0.0099777,0.4378754,-35.2986603
MsgID.LOCAL_VELOCITY,12.7870000,-0.0027878,-0.0174874,-4.8244090
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,13.0370000,-0.2179990,0.3238676,-36.4015923
MsgID.LOCAL_VELOCITY,13.0370000,-0.0091577,-0.0125263,-4.8221025
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924785,36.4010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-4.8200000
MsgID.LOCAL_POSITION,13.2870000,-0.2108508,0.3276263,-37.5587769
MsgID.LOCAL_VELOCITY,13.2870000,0.0094672,0.0028520,-4.8097677
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924785,37.5580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924804,38.7720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0100000,-4.8600000
MsgID.LOCAL_POSITION,13.5380000,-0.0011024,0.4391892,-38.7721939
MsgID.LOCAL_VELOCITY,13.5380000,0.0232973,0.0107254,-4.8639803
MsgID.GLOBAL_POSITION,0.0000000,-122.3974472,37.7924800,39.8940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8600000
MsgID.LOCAL_POSITION,13.7880000,-0.0465713,0.5393055,-39.8945999
MsgID.LOCAL_VELOCITY,13.7880000,0.0065971,0.0003891,-4.8640518
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924795,41.1520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-4.8300000
MsgID.LOCAL_POSITION,14.0380000,-0.0971821,0.4012713,-41.1522903
MsgID.LOCAL_VELOCITY,14.0380000,-0.0050307,-0.0101856,-4.8397536
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924799,42.2920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8000000
MsgID.LOCAL_POSITION,14.2880000,-0.0592371,0.3872243,-42.2921448
MsgID.LOCAL_VELOCITY,14.2880000,0.0028610,-0.0029315,-4.8084111
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924804,43.5700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8800000
MsgID.LOCAL_POSITION,14.5380000,-0.0044792,0.3404130,-43.5702553
MsgID.LOCAL_VELOCITY,14.5380000,0.0010736,0.0010795,-4.8810735
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924810,44.7460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.7900000
MsgID.LOCAL_POSITION,14.7880000,0.0662282,0.2366553,-44.7488899
MsgID.LOCAL_VELOCITY,14.7880000,-0.0085039,0.0089316,-4.7951031
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924790,46.0400000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0100000,-4.8400000
MsgID.LOCAL_POSITION,15.0380000,-0.1535375,0.4184999,-46.0402184
MsgID.LOCAL_VELOCITY,15.0380000,-0.0137459,0.0195910,-4.8416443
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924791,47.2800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-4.8200000
MsgID.LOCAL_POSITION,15.2880000,-0.1468714,0.4794547,-47.2808380
MsgID.LOCAL_VELOCITY,15.2880000,0.0012911,0.0085218,-4.8259144
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924799,48.4720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-4.8600000
MsgID.LOCAL_POSITION,15.5390000,-0.0617536,0.3673584,-48.4729958
MsgID.LOCAL_VELOCITY,15.5390000,0.0142835,-0.0027346,-4.8682604
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924799,49.7450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.6100000,-4.6900000
MsgID.LOCAL_POSITION,15.7890000,-0.0583327,0.3280303,-49.7457466
MsgID.LOCAL_VELOCITY,15.7890000,0.0299857,-0.6135315,-4.6906886
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924793,50.6150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.5700000,-1.8900000
MsgID.LOCAL_POSITION,16.0390000,-0.1217630,0.3359474,-50.6152115
MsgID.LOCAL_VELOCITY,16.0390000,0.0281322,-0.5759841,-1.8983283
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924788,50.7770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,-0.5600000,0.5300000
MsgID.LOCAL_POSITION,16.2890000,-0.1813289,0.2047247,-50.7774315
MsgID.LOCAL_VELOCITY,16.2890000,0.0296789,-0.5663564,0.5300526
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7924785,50.5170000
MsgID.LOCAL_VELOCITY,0.0000000,0.1000000,-0.9500000,1.5300000
MsgID.LOCAL_POSITION,16.5390000,-0.2140239,-0.0455529,-50.5173683
MsgID.LOCAL_VELOCITY,16.5390000,0.1057268,-0.9534717,1.5327147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974596,37.7924799,50.0470000
MsgID.LOCAL_VELOCITY,0.0000000,-0.3900000,-1.1900000,1.6100000
MsgID.LOCAL_POSITION,16.7890000,-0.0545773,-0.5659867,-50.0470581
MsgID.LOCAL_VELOCITY,16.7890000,-0.3981371,-1.1910303,1.6182214
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974618,37.7924777,49.8470000
MsgID.LOCAL_VELOCITY,0.0000000,-2.7500000,-1.0300000,0.0400000
MsgID.LOCAL_POSITION,17.0390000,-0.2970218,-0.7559373,-49.8473892
MsgID.LOCAL_VELOCITY,17.0390000,-2.7519503,-1.0337670,0.0402366
MsgID.GLOBAL_POSITION,0.0000000,-122.3974623,37.7924692,49.9850000
MsgID.LOCAL_VELOCITY,0.0000000,-4.3100000,-0.8200000,-0.6200000
MsgID.LOCAL_POSITION,17.2890000,-1.2508575,-0.8072833,-49.9853706
MsgID.LOCAL_VELOCITY,17.2890000,-4.3171225,-0.8292056,-0.6202818
MsgID.GLOBAL_POSITION,0.0000000,-122.3974644,37.7924569,50.0500000
MsgID.LOCAL_VELOCITY,0.0000000,-4.8500000,-0.6400000,0.1600000
MsgID.LOCAL_POSITION,17.5390000,-2.6151838,-0.9945742,-50.0506783
MsgID.LOCAL_VELOCITY,17.5390000,-4.8584471,-0.6479718,0.1645207
MsgID.GLOBAL_POSITION,0.0000000,-122.3974678,37.7924457,49.9930000
MsgID.LOCAL_VELOCITY,0.0000000,-4.6300000,-0.3100000,0.2600000
MsgID.LOCAL_POSITION,17.7890000,-3.8609576,-1.2907783,-49.9933243
MsgID.LOCAL_VELOCITY,17.7890000,-4.6309977,-0.3100670,0.2696036
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974677,37.7924376,49.9790000
MsgID.LOCAL_VELOCITY,0.0000000,-3.1300000,0.1400000,-0.0200000
MsgID.LOCAL_POSITION,18.0390000,-4.7578030,-1.2833196,-49.9796333
MsgID.LOCAL_VELOCITY,18.0390000,-3.1381881,0.1489534,-0.0211644
MsgID.GLOBAL_POSITION,0.0000000,-122.3974666,37.7924335,50.0060000
MsgID.LOCAL_VELOCITY,0.0000000,-1.7400000,0.5800000,0.0000000
MsgID.LOCAL_POSITION,18.2890000,-5.2162628,-1.1894846,-50.0070000
MsgID.LOCAL_VELOCITY,18.2890000,-1.7429268,0.5854486,-0.0025553
MsgID.GLOBAL_POSITION,0.0000000,-122.3974638,37.7924301,50.0060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.7100000,1.3300000,0.0500000
